id,project_code,po_/_so_#,asn/dn_#,country,managed_by,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,unit_of_measure_per_pack,line_item_quantity,line_item_value,unit_price,manufacturing_site,weight_kilograms,freight_cost_usd
85463,111-MZ-T30,SO-47085,DN-3652,Mozambique,PMO - US,N/A - From RDC,Truck,2013-10-21,2012-06-07,2014-06-16,2014-05-23,2014-06-13,ARV,Adult,SCMS from RDC,60,100000,811000.0,0.14,Hetero Unit III Hyderabad IN,48109.0,30202.86
85464,111-MZ-T30,SO-47085,DN-3652,Mozambique,PMO - US,N/A - From RDC,Truck,2013-10-21,2012-06-07,2014-06-16,2014-05-23,2014-06-13,ARV,Adult,SCMS from RDC,60,100000,811000.0,0.14,"Aurobindo Unit III, India",1047.0,5869.655000000001
85465,104-CI-T30,SO-46401,DN-3653,Côte d'Ivoire,PMO - US,N/A - From RDC,Air,2013-08-09,2012-06-07,2014-04-30,2014-05-12,2014-06-30,ARV,Adult,SCMS from RDC,60,24765,200844.15,0.14,"Strides, Bangalore, India.",2666.0,11186.09
85466,104-CI-T30,SO-47150,DN-3656,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2013-10-22,2012-06-07,2014-04-30,2014-04-22,2014-06-11,ARV,Pediatric,SCMS from RDC,60,11000,61930.0,0.09,"Cipla, Patalganga, India",1047.0,5869.655000000001
85467,110-ZM-T30,SO-47791,DN-3657,Zambia,PMO - US,N/A - From RDC,Air,2014-01-16,2012-06-07,2014-04-08,2014-04-18,2014-05-22,ARV,Pediatric,SCMS from RDC,100,2000,2600.0,0.01,"Aurobindo Unit III, India",1047.0,5869.655000000001
85468,114-UG-T30,SO-46873,DN-3661,Uganda,PMO - US,N/A - From RDC,Truck,2013-10-16,2012-06-07,2014-05-20,2014-05-08,2014-06-13,ARV,Adult,SCMS from RDC,60,114630,771459.9,0.11,Hetero Unit III Hyderabad IN,10166.0,4909.97
85472,109-TZ-T30,SO-47651,DN-3674,Tanzania,PMO - US,N/A - From RDC,Truck,2014-01-15,2012-06-07,2014-06-30,2014-06-24,2014-08-21,ARV,Adult,SCMS from RDC,30,50000,594500.0,0.4,"Cipla, Goa, India",5446.0,27804.65
85473,104-CI-T30,SO-47160,DN-3685,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2013-10-22,2012-06-07,2014-05-30,2014-05-12,2014-06-30,ARV,Adult,SCMS from RDC,60,1821,3168.54,0.03,"Micro labs, Verna, Goa, India",1047.0,5869.655000000001
85474,109-TZ-T30,SO-45743,DN-3688,Tanzania,PMO - US,N/A - From RDC,Truck,2013-05-16,2012-06-07,2014-06-01,2014-06-05,2014-06-12,ARV,Adult,SCMS from RDC,30,151208,1590708.16,0.35,Hetero Unit III Hyderabad IN,20501.0,13765.17
85475,111-MZ-T30,SO-47091,DN-3696,Mozambique,PMO - US,N/A - From RDC,Truck,2013-10-21,2012-06-07,2014-07-31,2014-09-05,2014-09-08,ARV,Adult,SCMS from RDC,120,12800,241920.0,0.16,ABBVIE Ludwigshafen Germany,2844.0,4853.84
85476,104-CI-T30,SO-43370,DN-3706,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2012-09-11,2012-06-07,2014-06-30,2014-06-04,2014-07-10,ARV,Adult,SCMS from RDC,30,25000,83250.0,0.11,"Strides, Bangalore, India.",1047.0,5869.655000000001
85477,151-NG-T30,SO-47284,DN-3719,Nigeria,PMO - US,N/A - From RDC,Air Charter,2013-11-19,2012-06-07,2014-06-30,2014-05-09,2014-05-23,ARV,Pediatric,SCMS from RDC,60,85800,321750.0,0.06,Mylan (formerly Matrix) Nashik,5605.0,45180.63
85478,104-CI-T30,SO-47152,DN-3731,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2013-10-22,2012-06-07,2014-06-16,2014-06-16,2014-07-10,ARV,Adult,SCMS from RDC,60,24765,200844.15,0.14,"Strides, Bangalore, India.",2751.0,11438.93
85480,114-UG-T30,SO-46871,DN-3736,Uganda,PMO - US,N/A - From RDC,Truck,2013-10-16,2012-06-07,2014-06-30,2014-06-30,2014-07-01,ARV,Adult,SCMS from RDC,60,212934,1758834.84,0.14,Hetero Unit III Hyderabad IN,27953.0,19248.7
85481,105-GY-T30,SO-48500,DN-3737,Guyana,PMO - US,N/A - From RDC,Air,2014-04-09,2012-06-07,2014-06-30,2014-06-03,2014-07-18,ARV,Adult,SCMS from RDC,60,574,998.76,0.03,"Aurobindo Unit III, India",1047.0,5869.655000000001
85483,111-MZ-T30,SO-47702,DN-3744,Mozambique,PMO - US,N/A - From RDC,Truck,2014-01-17,2012-06-07,2014-08-31,2014-07-18,2014-08-07,ARV,Adult,SCMS from RDC,30,165917,1788585.26,0.36,Hetero Unit III Hyderabad IN,45740.0,31113.19
85488,113-ZW-T30,SO-47530,DN-3780,Zimbabwe,PMO - US,N/A - From RDC,Truck,2013-12-24,2012-06-07,2014-07-30,2014-07-11,2014-08-04,ARV,Adult,SCMS from RDC,60,51747,116948.22,0.04,"Strides, Bangalore, India.",1047.0,5869.655000000001
85490,104-CI-T30,SO-47550,DN-3898,Côte d'Ivoire,PMO - US,N/A - From RDC,Truck,2013-12-24,2012-06-07,2014-09-30,2014-09-08,2014-09-19,ARV,Pediatric,SCMS from RDC,240,3393,7125.3,0.01,"Cipla, Goa, India",1273.0,4783.36
85491,104-CI-T30,SO-47920,DN-3899,Côte d'Ivoire,PMO - US,N/A - From RDC,Air,2014-02-07,2012-06-07,2014-09-30,2014-09-08,2014-09-19,ARV,Pediatric,SCMS from RDC,240,7000,14700.0,0.01,"Cipla, Goa, India",2625.0,9868.54
85492,111-MZ-T30,SO-47055,DN-3873,Mozambique,PMO - US,N/A - From RDC,Truck,2013-10-21,2012-06-07,2015-02-01,2015-01-13,2015-01-21,ARV,Adult,SCMS from RDC,60,26512,172858.24,0.11,"Aurobindo Unit III, India",2381.0,5073.25
85493,111-MZ-T30,SO-48883,DN-3875,Mozambique,PMO - US,N/A - From RDC,Truck,2014-05-02,2012-06-07,2014-12-31,2014-10-30,2014-11-07,ARV,Adult,SCMS from RDC,30,1040,3338.4,0.11,"Strides, Bangalore, India.",1047.0,5869.655000000001
85494,111-MZ-T30,SO-48883,DN-3875,Mozambique,PMO - US,N/A - From RDC,Truck,2014-05-02,2012-06-07,2014-12-31,2014-10-30,2014-11-07,ARV,Adult,SCMS from RDC,30,18886,203591.08,0.36,"Aurobindo Unit VII, IN",1047.0,5869.655000000001
85496,151-NG-T30,SO-47285,DN-3791,Nigeria,PMO - US,N/A - From RDC,Air Charter,2013-11-19,2012-06-07,2014-06-30,2014-06-20,2014-06-25,ARV,Adult,SCMS from RDC,30,19573,264626.96,0.45,"Cipla, Patalganga, India",1947.0,28812.57
85497,151-NG-T30,SO-47286,DN-3792,Nigeria,PMO - US,N/A - From RDC,Air Charter,2013-11-19,2012-06-07,2014-06-30,2014-06-20,2014-06-25,ARV,Adult,SCMS from RDC,60,34000,221680.0,0.11,Hetero Unit III Hyderabad IN,1047.0,5869.655000000001
85499,102-BI-T30,SO-48600,DN-3797,Burundi,PMO - US,N/A - From RDC,Air,2014-04-18,2012-06-07,2014-08-30,2014-09-05,2014-09-18,ARV,Adult,SCMS from RDC,120,200,4008.0,0.17,Mylan (formerly Matrix) Nashik,53.0,1621.53
